[11:37:47] [INFO] received Windows console close event; shutting log-core down
[11:44:48] [INFO] received Windows console close event; shutting log-core down
[11:47:09] [INFO] received Windows console close event; shutting log-core down
[13:30:32] [INFO] received Windows console close event; shutting log-core down
[18:12:33] [INFO] received Windows console close event; shutting log-core down
[18:25:11] [INFO] received Windows console close event; shutting log-core down
[18:25:12] [INFO] received Windows console close event; shutting log-core down
[18:27:53] [INFO] received Windows console close event; shutting log-core down
[18:29:07] [INFO] received Windows console close event; shutting log-core down
[17:11:22] [INFO] received Windows console close event; shutting log-core down
[17:35:35] [INFO] received Windows console close event; shutting log-core down
[17:42:57] [INFO] received Windows console close event; shutting log-core down
[17:48:09] [INFO] received Windows console close event; shutting log-core down
[17:52:20] [INFO] received Windows console close event; shutting log-core down
[17:58:42] [INFO] received Windows console close event; shutting log-core down
[18:03:22] [INFO] received Windows console close event; shutting log-core down
[18:09:28] [INFO] received Windows console close event; shutting log-core down
[18:21:23] [INFO] received Windows console close event; shutting log-core down
[18:26:08] [INFO] received Windows console close event; shutting log-core down
[18:30:59] [INFO] received Windows console close event; shutting log-core down
[18:33:19] [INFO] received Windows console close event; shutting log-core down
[18:37:35] [INFO] received Windows console close event; shutting log-core down
[18:48:15] [INFO] received Windows console close event; shutting log-core down
[18:48:45] [INFO] received Windows console close event; shutting log-core down
[18:50:15] [INFO] received Windows console close event; shutting log-core down
[18:53:45] [INFO] received Windows console close event; shutting log-core down
[18:56:58] [INFO] received Windows console close event; shutting log-core down
[18:59:08] [INFO] received Windows console close event; shutting log-core down
[19:02:47] [INFO] received Windows console close event; shutting log-core down
[19:05:07] [INFO] received Windows console close event; shutting log-core down
[19:18:46] [INFO] received Windows console close event; shutting log-core down
[19:20:33] [INFO] received Windows console close event; shutting log-core down
[19:58:28] [INFO] received Windows console close event; shutting log-core down
[20:18:06] [INFO] received Windows console close event; shutting log-core down
[20:25:39] [INFO] received Windows console close event; shutting log-core down
[20:33:47] [INFO] received Windows console close event; shutting log-core down
[20:39:50] [INFO] received Windows console close event; shutting log-core down
[20:44:13] [INFO] received Windows console close event; shutting log-core down
[20:48:58] [INFO] received Windows console close event; shutting log-core down
[20:56:33] [INFO] received Windows console close event; shutting log-core down
[21:08:40] [INFO] received Windows console close event; shutting log-core down
[21:12:02] [INFO] received Windows console close event; shutting log-core down
[21:15:55] [INFO] received Windows console close event; shutting log-core down
[21:30:58] [INFO] received Windows console close event; shutting log-core down
[21:35:03] [INFO] received Windows console close event; shutting log-core down
[21:38:23] [INFO] received Windows console close event; shutting log-core down
[21:42:51] [INFO] received Windows console close event; shutting log-core down
[21:58:05] [INFO] received Windows console close event; shutting log-core down
[09:51:50] [INFO] received Windows console close event; shutting log-core down
[10:02:53] [INFO] received Windows console close event; shutting log-core down
[10:18:46] [INFO] received Windows console close event; shutting log-core down
[10:22:39] [INFO] received Windows console close event; shutting log-core down
[10:23:22] [INFO] received Windows console close event; shutting log-core down
[10:28:05] [INFO] received Windows console close event; shutting log-core down
[10:36:40] [INFO] received Windows console close event; shutting log-core down
[10:37:14] [INFO] received Windows console close event; shutting log-core down
[10:43:00] [INFO] received Windows console close event; shutting log-core down
[10:45:00] [INFO] received Windows console close event; shutting log-core down
[10:51:58] [INFO] received Windows console close event; shutting log-core down
[12:39:56] [INFO] received Windows console close event; shutting log-core down
[12:58:33] [INFO] received Windows console close event; shutting log-core down
[13:22:16] [INFO] received Windows console close event; shutting log-core down
[13:26:36] [INFO] received Windows console close event; shutting log-core down
[13:35:00] [INFO] received Windows console close event; shutting log-core down
[10:51:36] [INFO] received Windows console close event; shutting log-core down
[11:08:53] [INFO] received Windows console close event; shutting log-core down
[08:33:48] [INFO] received Windows console close event; shutting log-core down
[10:36:13] [INFO] received Windows console close event; shutting log-core down
[10:47:33] [INFO] received Windows console close event; shutting log-core down
[10:47:35] [INFO] received Windows console close event; shutting log-core down
[10:47:35] [INFO] received Windows console close event; shutting log-core down
[10:58:41] [INFO] received Windows console close event; shutting log-core down
[11:37:17] [INFO] received Windows console close event; shutting log-core down
[15:41:43] [INFO] received Windows console close event; shutting log-core down
[16:24:20] [INFO] received Windows console close event; shutting log-core down
[16:44:41] [INFO] received Windows console close event; shutting log-core down
[16:54:07] [INFO] received Windows console close event; shutting log-core down
[16:58:01] [INFO] received Windows console close event; shutting log-core down
[17:01:03] [INFO] received Windows console close event; shutting log-core down
[17:05:22] [INFO] received Windows console close event; shutting log-core down
[19:25:56] [INFO] received Windows console close event; shutting log-core down
[19:58:25] [INFO] received Windows console close event; shutting log-core down
[11:18:23] [INFO] received Windows console close event; shutting log-core down
[11:35:10] [INFO] received Windows console close event; shutting log-core down
[11:48:10] [INFO] received Windows console close event; shutting log-core down
[11:54:27] [INFO] received Windows console close event; shutting log-core down
[12:00:07] [INFO] received Windows console close event; shutting log-core down
[12:00:16] [INFO] received Windows console close event; shutting log-core down
[12:06:23] [INFO] received Windows console close event; shutting log-core down
[12:13:00] [INFO] received Windows console close event; shutting log-core down
[15:02:03] [INFO] received Windows console close event; shutting log-core down
[16:41:55] [INFO] received Windows console close event; shutting log-core down
[16:50:43] [INFO] received Windows console close event; shutting log-core down
[16:55:46] [INFO] received Windows console close event; shutting log-core down
[17:00:39] [INFO] received Windows console close event; shutting log-core down
[17:03:24] [INFO] received Windows console close event; shutting log-core down
[17:08:24] [INFO] received Windows console close event; shutting log-core down
[17:11:58] [INFO] received Windows console close event; shutting log-core down
[17:12:00] [INFO] received Windows console close event; shutting log-core down
[17:15:09] [INFO] received Windows console close event; shutting log-core down
[17:16:52] [INFO] received Windows console close event; shutting log-core down
[17:18:58] [INFO] received Windows console close event; shutting log-core down
[17:22:56] [INFO] received Windows console close event; shutting log-core down
[17:24:33] [INFO] received Windows console close event; shutting log-core down
[17:32:25] [INFO] received Windows console close event; shutting log-core down
[17:35:44] [INFO] received Windows console close event; shutting log-core down
[17:39:35] [INFO] received Windows console close event; shutting log-core down
[17:41:34] [INFO] received Windows console close event; shutting log-core down
[17:46:53] [INFO] received Windows console close event; shutting log-core down
[17:50:28] [INFO] received Windows console close event; shutting log-core down
[17:55:16] [INFO] received Windows console close event; shutting log-core down
[17:59:16] [INFO] received Windows console close event; shutting log-core down
[18:04:07] [INFO] received Windows console close event; shutting log-core down
[18:11:42] [INFO] received Windows console close event; shutting log-core down
[18:19:59] [INFO] received Windows console close event; shutting log-core down
[18:36:20] [INFO] received Windows console close event; shutting log-core down
[19:01:32] [INFO] received Windows console close event; shutting log-core down
[19:10:30] [INFO] received Windows console close event; shutting log-core down
[19:43:30] [INFO] received Windows console close event; shutting log-core down
[19:48:06] [INFO] received Windows console close event; shutting log-core down
[19:48:35] [INFO] received Windows console close event; shutting log-core down
[19:54:12] [INFO] received Windows console close event; shutting log-core down
[19:58:27] [INFO] received Windows console close event; shutting log-core down
[20:02:39] [INFO] received Windows console close event; shutting log-core down
[20:04:45] [INFO] received Windows console close event; shutting log-core down
[20:28:42] [INFO] received Windows console close event; shutting log-core down
[20:34:25] [INFO] received Windows console close event; shutting log-core down
[21:06:19] [INFO] received Windows console close event; shutting log-core down
[21:11:38] [INFO] received Windows console close event; shutting log-core down
[21:29:54] [INFO] received Windows console close event; shutting log-core down
[21:44:18] [INFO] received Windows console close event; shutting log-core down
[08:31:32] [INFO] received Windows console close event; shutting log-core down
[08:36:53] [INFO] received Windows console close event; shutting log-core down
[08:46:03] [INFO] received Windows console close event; shutting log-core down
[08:51:01] [INFO] received Windows console close event; shutting log-core down
[09:02:49] [INFO] received Windows console close event; shutting log-core down
[09:31:53] [INFO] received Windows console close event; shutting log-core down
[09:58:25] [INFO] received Windows console close event; shutting log-core down
[10:24:10] [INFO] received Windows console close event; shutting log-core down
[10:47:37] [INFO] received Windows console close event; shutting log-core down
[10:52:09] [INFO] received Windows console close event; shutting log-core down
[10:54:56] [INFO] received Windows console close event; shutting log-core down
[10:57:14] [INFO] received Windows console close event; shutting log-core down
[11:16:16] [INFO] received Windows console close event; shutting log-core down
[11:19:43] [INFO] received Windows console close event; shutting log-core down
[11:22:25] [INFO] received Windows console close event; shutting log-core down
[11:31:08] [INFO] received Windows console close event; shutting log-core down
[11:37:53] [INFO] received Windows console close event; shutting log-core down
[11:41:58] [INFO] received Windows console close event; shutting log-core down
[11:51:16] [INFO] received Windows console close event; shutting log-core down
[11:53:00] [INFO] received Windows console close event; shutting log-core down
[17:28:38] [INFO] received Windows console close event; shutting log-core down
[17:29:57] [INFO] received Windows console close event; shutting log-core down
[17:45:54] [INFO] received Windows console close event; shutting log-core down
[18:01:08] [INFO] received Windows console close event; shutting log-core down
[18:20:05] [INFO] received Windows console close event; shutting log-core down
[18:21:35] [INFO] received Windows console close event; shutting log-core down
[18:54:19] [INFO] received Windows console close event; shutting log-core down
[18:56:00] [INFO] received Windows console close event; shutting log-core down
[19:08:56] [INFO] received Windows console close event; shutting log-core down
[19:16:30] [INFO] received Windows console close event; shutting log-core down
[21:22:55] [INFO] received Windows console close event; shutting log-core down
[09:29:08] [INFO] received Windows console close event; shutting log-core down
[09:38:02] [INFO] received Windows console close event; shutting log-core down
[13:49:25] [INFO] received Windows console close event; shutting log-core down
[14:01:17] [INFO] received Windows console close event; shutting log-core down
[14:07:09] [INFO] received Windows console close event; shutting log-core down
[14:16:37] [INFO] received Windows console close event; shutting log-core down
